﻿Published/unpublished,Title,Author(s),Journal,Pub Year,Volume,Pages,Url,DOI,Description/Notes,Region,Location Name,Site Name,Latitude,Longitude,Altitude,Soil Types,Is it pasture/crop?,Is it resident/sown?,Sowing Date,Harvest Method,Irrigation Level,kgNyr,kgPyr,kgKyr,kgSyr,kgLimeyr,Defoliation Method,Dominant Species,Cultivar,Flowering Date,Additional Species,Cultivars,Experiment Name,Measurement Unit,What yield are you recording?,Data Source,Start Date,End Date,DM Yield,Grain Yield,Growth Rate,Annual Yield,Met Files,Photos,Soil Water Data,Raw Data
Unpublished,Pasture Plan growth rate_2002_2003 (Fielding),"Fraser, T. ",,,,,,,"Tom Fraser datasets_Pasture Plan project  Farmers: A B Hogg, Mingiroa RD 9, Fielding. Lat and Long. are proxies. Considered as sown pastures. This raw data is associated with the publication from W.J. CLARKE-HILL and T.J FRASER (2007)  On-farm  pasture  growth  and  quality  data  for  sheep  and beef  farms  throughout  New  Zealand. The project was funded by Beef+Lamb NZ (former Meat and Wool). Technical support AgResearch colleagues. There are rainfall, soil temperature, soil tests and pasture quality analysis associated with this dataset. ",Whanganui-Manawatu,"Fielding, Mingiroa RD 9",Deightons,-40.0833,175.6833,,,Pasture,Sown,,Cage cuts,,,,,,,,,,,,,On farm pasture cuts  _Cage A,kg/ha,TotalYield,"Tom Fraser_AgResearch excel spreadsheet ",02/09/2002,02/10/2002,750,,25,,Y,,,Y
Unpublished,Pasture Plan growth rate_2002_2003 (Fielding),"Fraser, T. ",,,,,,,"Tom Fraser datasets_Pasture Plan project  Farmers: A B Hogg, Mingiroa RD 9, Fielding. Lat and Long. are proxies. Considered as sown pastures. This raw data is associated with the publication from W.J. CLARKE-HILL and T.J FRASER (2007)  On-farm  pasture  growth  and  quality  data  for  sheep  and beef  farms  throughout  New  Zealand. The project was funded by Beef+Lamb NZ (former Meat and Wool). Technical support AgResearch colleagues. There are rainfall, soil temperature, soil tests and pasture quality analysis associated with this dataset. ",Whanganui-Manawatu,"Fielding, Mingiroa RD 9",Deightons,-40.0833,175.6833,,,Pasture,Sown,,Cage cuts,,,,,,,,,,,,,On farm pasture cuts  _Cage B,kg/ha,TotalYield,"Tom Fraser_AgResearch excel spreadsheet ",02/09/2002,02/10/2002,1410,,47,,Y,,,Y
Unpublished,Pasture Plan growth rate_2002_2003 (Fielding),"Fraser, T. ",,,,,,,"Tom Fraser datasets_Pasture Plan project  Farmers: A B Hogg, Mingiroa RD 9, Fielding. Lat and Long. are proxies. Considered as sown pastures. This raw data is associated with the publication from W.J. CLARKE-HILL and T.J FRASER (2007)  On-farm  pasture  growth  and  quality  data  for  sheep  and beef  farms  throughout  New  Zealand. The project was funded by Beef+Lamb NZ (former Meat and Wool). Technical support AgResearch colleagues. There are rainfall, soil temperature, soil tests and pasture quality analysis associated with this dataset. ",Whanganui-Manawatu,"Fielding, Mingiroa RD 9",Deightons,-40.0833,175.6833,,,Pasture,Sown,,Cage cuts,,,,,,,,,,,,,On farm pasture cuts  _Cage E,kg/ha,TotalYield,"Tom Fraser_AgResearch excel spreadsheet ",01/04/2003,01/05/2003,660,,22,,Y,,,Y
Unpublished,Pasture Plan growth rate_2002_2003 (Fielding),"Fraser, T. ",,,,,,,"Tom Fraser datasets_Pasture Plan project  Farmers: A B Hogg, Mingiroa RD 9, Fielding. Lat and Long. are proxies. Considered as sown pastures. This raw data is associated with the publication from W.J. CLARKE-HILL and T.J FRASER (2007)  On-farm  pasture  growth  and  quality  data  for  sheep  and beef  farms  throughout  New  Zealand. The project was funded by Beef+Lamb NZ (former Meat and Wool). Technical support AgResearch colleagues. There are rainfall, soil temperature, soil tests and pasture quality analysis associated with this dataset. ",Whanganui-Manawatu,"Fielding, Mingiroa RD 9",Deightons,-40.0833,175.6833,,,Pasture,Sown,,Cage cuts,,,,,,,,,,,,,On farm pasture cuts  _Cage E,kg/ha,TotalYield,"Tom Fraser_AgResearch excel spreadsheet ",03/08/2002,02/09/2002,930,,31,,Y,,,Y
Unpublished,Pasture Plan growth rate_2002_2003 (Fielding),"Fraser, T. ",,,,,,,"Tom Fraser datasets_Pasture Plan project  Farmers: A B Hogg, Mingiroa RD 9, Fielding. Lat and Long. are proxies. Considered as sown pastures. This raw data is associated with the publication from W.J. CLARKE-HILL and T.J FRASER (2007)  On-farm  pasture  growth  and  quality  data  for  sheep  and beef  farms  throughout  New  Zealand. The project was funded by Beef+Lamb NZ (former Meat and Wool). Technical support AgResearch colleagues. There are rainfall, soil temperature, soil tests and pasture quality analysis associated with this dataset. ",Whanganui-Manawatu,"Fielding, Mingiroa RD 9",Deightons,-40.0833,175.6833,,,Pasture,Sown,,Cage cuts,,,,,,,,,,,,,On farm pasture cuts  _Cage E,kg/ha,TotalYield,"Tom Fraser_AgResearch excel spreadsheet ",06/01/2003,03/02/2003,392,,14,,Y,,,Y
Unpublished,Pasture Plan growth rate_2002_2003 (Fielding),"Fraser, T. ",,,,,,,"Tom Fraser datasets_Pasture Plan project  Farmers: A B Hogg, Mingiroa RD 9, Fielding. Lat and Long. are proxies. Considered as sown pastures. This raw data is associated with the publication from W.J. CLARKE-HILL and T.J FRASER (2007)  On-farm  pasture  growth  and  quality  data  for  sheep  and beef  farms  throughout  New  Zealand. The project was funded by Beef+Lamb NZ (former Meat and Wool). Technical support AgResearch colleagues. There are rainfall, soil temperature, soil tests and pasture quality analysis associated with this dataset. ",Whanganui-Manawatu,"Fielding, Mingiroa RD 9",Deightons,-40.0833,175.6833,,,Pasture,Sown,,Cage cuts,,,,,,,,,,,,,On farm pasture cuts  _Cage E,kg/ha,TotalYield,"Tom Fraser_AgResearch excel spreadsheet ",01/05/2003,03/06/2003,759,,23,,Y,,,Y
Unpublished,Pasture Plan growth rate_2002_2003 (Fielding),"Fraser, T. ",,,,,,,"Tom Fraser datasets_Pasture Plan project  Farmers: A B Hogg, Mingiroa RD 9, Fielding. Lat and Long. are proxies. Considered as sown pastures. This raw data is associated with the publication from W.J. CLARKE-HILL and T.J FRASER (2007)  On-farm  pasture  growth  and  quality  data  for  sheep  and beef  farms  throughout  New  Zealand. The project was funded by Beef+Lamb NZ (former Meat and Wool). Technical support AgResearch colleagues. There are rainfall, soil temperature, soil tests and pasture quality analysis associated with this dataset. ",Whanganui-Manawatu,"Fielding, Mingiroa RD 9",Deightons,-40.0833,175.6833,,,Pasture,Sown,,Cage cuts,,,,,,,,,,,,,On farm pasture cuts  _Cage E,kg/ha,TotalYield,"Tom Fraser_AgResearch excel spreadsheet ",04/11/2002,03/12/2002,1682,,58,,Y,,,Y
Unpublished,Pasture Plan growth rate_2002_2003 (Fielding),"Fraser, T. ",,,,,,,"Tom Fraser datasets_Pasture Plan project  Farmers: A B Hogg, Mingiroa RD 9, Fielding. Lat and Long. are proxies. Considered as sown pastures. This raw data is associated with the publication from W.J. CLARKE-HILL and T.J FRASER (2007)  On-farm  pasture  growth  and  quality  data  for  sheep  and beef  farms  throughout  New  Zealand. The project was funded by Beef+Lamb NZ (former Meat and Wool). Technical support AgResearch colleagues. There are rainfall, soil temperature, soil tests and pasture quality analysis associated with this dataset. ",Whanganui-Manawatu,"Fielding, Mingiroa RD 9",Deightons,-40.0833,175.6833,,,Pasture,Sown,,Cage cuts,,,,,,,,,,,,,On farm pasture cuts  _Cage E,kg/ha,TotalYield,"Tom Fraser_AgResearch excel spreadsheet ",02/10/2002,04/11/2002,2640,,80,,Y,,,Y
Unpublished,Pasture Plan growth rate_2002_2003 (Fielding),"Fraser, T. ",,,,,,,"Tom Fraser datasets_Pasture Plan project  Farmers: A B Hogg, Mingiroa RD 9, Fielding. Lat and Long. are proxies. Considered as sown pastures. This raw data is associated with the publication from W.J. CLARKE-HILL and T.J FRASER (2007)  On-farm  pasture  growth  and  quality  data  for  sheep  and beef  farms  throughout  New  Zealand. The project was funded by Beef+Lamb NZ (former Meat and Wool). Technical support AgResearch colleagues. There are rainfall, soil temperature, soil tests and pasture quality analysis associated with this dataset. ",Whanganui-Manawatu,"Fielding, Mingiroa RD 9",Deightons,-40.0833,175.6833,,,Pasture,Sown,,Cage cuts,,,,,,,,,,,,,On farm pasture cuts  _Cage E,kg/ha,TotalYield,"Tom Fraser_AgResearch excel spreadsheet ",03/12/2002,06/01/2003,2754,,81,,Y,,,Y
Unpublished,Pasture Plan growth rate_2002_2003 (Fielding),"Fraser, T. ",,,,,,,"Tom Fraser datasets_Pasture Plan project  Farmers: A B Hogg, Mingiroa RD 9, Fielding. Lat and Long. are proxies. Considered as sown pastures. This raw data is associated with the publication from W.J. CLARKE-HILL and T.J FRASER (2007)  On-farm  pasture  growth  and  quality  data  for  sheep  and beef  farms  throughout  New  Zealand. The project was funded by Beef+Lamb NZ (former Meat and Wool). Technical support AgResearch colleagues. There are rainfall, soil temperature, soil tests and pasture quality analysis associated with this dataset. ",Whanganui-Manawatu,"Fielding, Mingiroa RD 9",Deightons,-40.0833,175.6833,,,Pasture,Sown,,Cage cuts,,,,,,,,,,,,,On farm pasture cuts  _Cage E,kg/ha,TotalYield,"Tom Fraser_AgResearch excel spreadsheet ",17/09/2002,14/10/2002,945,,35,,Y,,,Y
